STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
20,097,Kansas,Kiowa,2553,1871626797,0,0,0,0,,0,0,0,0,,0,0,0,0,,2553,100,1871626797,100,3.5
20,099,Kansas,Labette,21607,1671305414,10298,47.66,14176969,0.85,1881.3,0,0,0,0,,10298,47.66,14176969,0.85,1881.3,11309,52.34,1657128445,99.15,17.7
20,101,Kansas,Lane,1750,1858200248,0,0,0,0,,0,0,0,0,,0,0,0,0,,1750,100,1858200248,100,2.4
20,103,Kansas,Leavenworth,76227,1198726879,54073,70.94,66031788,5.51,2120.9,0,0,0,0,,54073,70.94,66031788,5.51,2120.9,22154,29.06,1132695091,94.49,50.7
20,105,Kansas,Lincoln,3241,1863226611,0,0,0,0,,0,0,0,0,,0,0,0,0,,3241,100,1863226611,100,4.5
20,107,Kansas,Linn,9656,1538604962,0,0,0,0,,0,0,0,0,,0,0,0,0,,9656,100,1538604962,100,16.3
20,109,Kansas,Logan,2756,2779042457,0,0,0,0,,0,0,0,0,,0,0,0,0,,2756,100,2779042457,100,2.6
20,111,Kansas,Lyon,33690,2194947808,24830,73.7,28720165,1.31,2239.2,0,0,0,0,,24830,73.7,28720165,1.31,2239.2,8860,26.3,2166227643,98.69,10.6
20,113,Kansas,McPherson,29180,2326520077,16488,56.5,21885778,0.94,1951.2,0,0,0,0,,16488,56.5,21885778,0.94,1951.2,12692,43.5,2304634299,99.06,14.3
20,115,Kansas,Marion,12660,2445700985,2815,22.24,2964892,0.12,2459,0,0,0,0,,2815,22.24,2964892,0.12,2459,9845,77.76,2442736093,99.88,10.4
20,117,Kansas,Marshall,10117,2331463499,2937,29.03,3906167,0.17,1947.4,0,0,0,0,,2937,29.03,3906167,0.17,1947.4,7180,70.97,2327557332,99.83,8
20,119,Kansas,Meade,4575,2533234935,0,0,0,0,,0,0,0,0,,0,0,0,0,,4575,100,2533234935,100,4.7
20,121,Kansas,Miami,32787,1490955548,16082,49.05,22744321,1.53,1831.3,0,0,0,0,,16082,49.05,22744321,1.53,1831.3,16705,50.95,1468211227,98.47,29.5
20,123,Kansas,Mitchell,6373,1817632788,3295,51.7,4664415,0.26,1829.6,0,0,0,0,,3295,51.7,4664415,0.26,1829.6,3078,48.3,1812968373,99.74,4.4
20,125,Kansas,Montgomery,35471,1666728264,20068,56.58,30620894,1.84,1697.4,0,0,0,0,,20068,56.58,30620894,1.84,1697.4,15403,43.42,1636107370,98.16,24.4
20,127,Kansas,Morris,5923,1800763909,0,0,0,0,,0,0,0,0,,0,0,0,0,,5923,100,1800763909,100,8.5
20,129,Kansas,Morton,3233,1889993253,0,0,0,0,,0,0,0,0,,0,0,0,0,,3233,100,1889993253,100,4.4
20,131,Kansas,Nemaha,10178,1858126462,2520,24.76,3855114,0.21,1693,0,0,0,0,,2520,24.76,3855114,0.21,1693,7658,75.24,1854271348,99.79,10.7
20,133,Kansas,Neosho,16512,1480106485,9059,54.86,13781449,0.93,1702.5,0,0,0,0,,9059,54.86,13781449,0.93,1702.5,7453,45.14,1466325036,99.07,13.2
20,135,Kansas,Ness,3107,2783590502,0,0,0,0,,0,0,0,0,,0,0,0,0,,3107,100,2783590502,100,2.9
20,137,Kansas,Norton,5671,2274357034,2893,51.01,3513071,0.15,2132.8,0,0,0,0,,2893,51.01,3513071,0.15,2132.8,2778,48.99,2270843963,99.85,3.2
20,139,Kansas,Osage,16295,1827283988,2683,16.47,4808651,0.26,1445.1,0,0,0,0,,2683,16.47,4808651,0.26,1445.1,13612,83.53,1822475337,99.74,19.3
20,141,Kansas,Osborne,3858,2311573881,0,0,0,0,,0,0,0,0,,0,0,0,0,,3858,100,2311573881,100,4.3
20,143,Kansas,Ottawa,6091,1866689468,0,0,0,0,,0,0,0,0,,0,0,0,0,,6091,100,1866689468,100,8.5
20,145,Kansas,Pawnee,6973,1953531750,4764,68.32,7064369,0.36,1746.6,0,0,0,0,,4764,68.32,7064369,0.36,1746.6,2209,31.68,1946467381,99.64,2.9
20,147,Kansas,Phillips,5642,2294410181,2609,46.24,4266432,0.19,1583.8,0,0,0,0,,2609,46.24,4266432,0.19,1583.8,3033,53.76,2290143749,99.81,3.4
20,149,Kansas,Pottawatomie,21604,2178235871,8876,41.08,14597606,0.67,1574.8,1789,8.28,6878548,0.32,673.6,7087,32.8,7719058,0.35,2377.9,12728,58.92,2163638265,99.33,15.2
20,151,Kansas,Pratt,9656,1903757176,6546,67.79,7122202,0.37,2380.5,0,0,0,0,,6546,67.79,7122202,0.37,2380.5,3110,32.21,1896634974,99.63,4.2
20,153,Kansas,Rawlins,2519,2769775797,0,0,0,0,,0,0,0,0,,0,0,0,0,,2519,100,2769775797,100,2.4
20,155,Kansas,Reno,64511,3251332369,44320,68.7,55890984,1.72,2053.8,0,0,0,0,,44320,68.7,55890984,1.72,2053.8,20191,31.3,3195441385,98.28,16.4
20,157,Kansas,Republic,4980,1857981647,0,0,0,0,,0,0,0,0,,0,0,0,0,,4980,100,1857981647,100,6.9
20,159,Kansas,Rice,10083,1880944775,3652,36.22,4512303,0.24,2096.2,0,0,0,0,,3652,36.22,4512303,0.24,2096.2,6431,63.78,1876432472,99.76,8.9
20,161,Kansas,Riley,71115,1579300177,61269,86.15,57320314,3.63,2768.4,52833,74.29,46769698,2.96,2925.8,8436,11.86,10550616,0.67,2070.9,9846,13.85,1521979863,96.37,16.8
20,163,Kansas,Rooks,5181,2306470146,0,0,0,0,,0,0,0,0,,0,0,0,0,,5181,100,2306470146,100,5.8
20,165,Kansas,Rush,3307,1858997569,0,0,0,0,,0,0,0,0,,0,0,0,0,,3307,100,1858997569,100,4.6
20,167,Kansas,Russell,6970,2295402664,4108,58.94,5347451,0.23,1989.7,0,0,0,0,,4108,58.94,5347451,0.23,1989.7,2862,41.06,2290055213,99.77,3.2
20,169,Kansas,Saline,55606,1865373525,47493,85.41,59393734,3.18,2071,0,0,0,0,,47493,85.41,59393734,3.18,2071,8113,14.59,1805979791,96.82,11.6
