school_dist,county,school_dist_name,total_pop_est,child_pop_5-7,child_5-7_poverty_numb,child_5-7_poverty_percent
322,POTTAWATOMIE,   Onaga-Havensville-Wheaton ,2243,435,35,8
378,POTTAWATOMIE,   Riley County ,4708,808,77,9.5
323,POTTAWATOMIE,   Rock Creek ,5653,1103,74,6.7
380,POTTAWATOMIE,   Vermillion ,2698,470,41,8.7
320,POTTAWATOMIE,   Wamego ,8303,1613,157,9.7
254,PRATT,   Barber County North ,3014,527,96,18.2
332,PRATT,   Cunningham ,1231,142,24,16.9
310,PRATT,   Fairfield ,2365,413,63,15.3
474,PRATT,   Haviland ,871,133,28,21.1
351,PRATT,   Macksville ,1261,250,47,18.8
382,PRATT,   Pratt ,7996,1378,178,12.9
438,PRATT,   Skyline Schools ,1099,228,38,16.7
349,PRATT,   Stafford ,1356,202,50,24.8
314,RAWLINS,   Brewster ,586,99,7,7.1
103,RAWLINS,   Cheylin ,1051,147,34,23.1
315,RAWLINS,   Colby Public Schools ,6544,1036,91,8.8
316,RAWLINS,   Golden Plains ,781,162,22,13.6
105,RAWLINS,   Rawlins County ,2115,325,63,19.4
313,RENO,   Buhler ,12488,2232,241,10.8
369,RENO,   Burrton ,1389,268,47,17.5
401,RENO,   Chase-Raymond ,844,154,32,20.8
310,RENO,   Fairfield ,2365,413,63,15.3
312,RENO,   Haven Public Schools ,5833,1131,158,14
308,RENO,   Hutchinson Public Schools ,33278,5236,789,15.1
331,RENO,   Kingman-Norwich ,5689,994,163,16.4
309,RENO,   Nickerson ,7073,1160,166,14.3
311,RENO,   Pretty Prairie ,1535,252,36,14.3
267,RENO,   Renwick ,8620,2242,124,5.5
376,RENO,   Sterling ,2961,446,59,13.2
224,REPUBLIC,   Clifton-Clyde ,1789,283,37,13.1
333,REPUBLIC,   Concordia ,6446,1074,166,15.5
108,REPUBLIC,   North Central-Washington Schools ,2475,377,41,10.9
426,REPUBLIC,   Pike Valley ,1100,200,27,13.5
109,REPUBLIC,   Republic County-Hillcrest Rural Schools ,3563,534,106,19.9
112,RICE,   Central Plains,3514,570,56,9.8
401,RICE,   Chase-Raymond ,844,154,32,20.8
327,RICE,   Ellsworth ,4455,590,63,10.7
448,RICE,   Inman ,2558,477,37,7.8
444,RICE,   Little River ,1475,309,28,9.1
405,RICE,   Lyons ,3934,683,107,15.7
309,RICE,   Nickerson ,7073,1160,166,14.3
376,RICE,   Sterling ,2961,446,59,13.2
384,RILEY,   Blue Valley (Randolph-Olsburg),1788,267,18,6.7
379,RILEY,   Clay Center ,7699,1370,190,13.9
475,RILEY,   Geary County Schools ,39682,7334,1167,15.9
383,RILEY,   Manhattan ,63014,6400,770,12
329,RILEY,   Mill Creek Valley ,3522,624,46,7.4
378,RILEY,   Riley County ,4708,808,77,9.5
323,RILEY,   Rock Creek ,5653,1103,74,6.7
498,RILEY,   Valley Heights ,2168,385,49,12.7
320,RILEY,   Wamego ,8303,1613,157,9.7
326,ROOKS,   Logan ,965,189,24,12.7
392,ROOKS,   Osborne County ,1945,302,66,21.9
269,ROOKS,   Palco ,779,139,24,17.3
399,ROOKS,   Paradise ,677,123,25,20.3
270,ROOKS,   Plainville ,2345,404,47,11.6
271,ROOKS,   Stockton ,1862,274,40,14.6
489,RUSH,   Hays ,24076,3588,395,11
395,RUSH,   LaCrosse ,2109,311,50,16.1
403,RUSH,   Otis-Bison ,1332,217,30,13.8
496,RUSH,   Pawnee Heights ,596,76,9,11.8
432,RUSH,   Victoria ,1913,347,27,7.8
112,RUSSELL,   Central Plains,3514,570,56,9.8
399,RUSSELL,   Paradise ,677,123,25,20.3
407,RUSSELL,   Russell County ,5672,923,165,17.9
299,RUSSELL,   Sylvan Grove ,1579,235,43,18.3
307,SALINE,   Ell-Saline ,1743,315,25,7.9
305,SALINE,   Salina ,48175,8091,1210,15
400,SALINE,   Smoky Valley ,6259,1007,86,8.5
393,SALINE,   Solomon ,1921,352,31,8.8
306,SALINE,   Southeast of Saline ,3004,586,56,9.6
240,SALINE,   Twin Valley ,2432,437,49,11.2
468,SCOTT,   Healy Public Schools ,303,59,10,16.9
466,SCOTT,   Scott County ,4834,981,99,10.1
385,SEDGWICK,   Andover ,23714,5764,236,4.1
369,SEDGWICK,   Burrton ,1389,268,47,17.5
268,SEDGWICK,   Cheney ,3604,800,66,8.3
375,SEDGWICK,   Circle ,9278,1747,160,9.2
264,SEDGWICK,   Clearwater ,6067,1301,182,14
356,SEDGWICK,   Conway Springs ,2547,602,81,13.5
260,SEDGWICK,   Derby ,35848,7173,707,9.9
265,SEDGWICK,   Goddard ,28178,6503,269,4.1
440,SEDGWICK,   Halstead ,4541,919,83,9
312,SEDGWICK,   Haven Public Schools ,5833,1131,158,14
261,SEDGWICK,   Haysville ,23472,4895,620,12.7
331,SEDGWICK,   Kingman-Norwich ,5689,994,163,16.4
266,SEDGWICK,   Maize ,35140,8074,370,4.6
263,SEDGWICK,   Mulvane ,10113,2024,207,10.2
206,SEDGWICK,   Remington-Whitewater ,3705,746,60,8
267,SEDGWICK,   Renwick ,8620,2242,124,5.5
394,SEDGWICK,   Rose Hill Public Schools ,8147,1767,117,6.6
439,SEDGWICK,   Sedgwick Public Schools ,2186,475,33,6.9
262,SEDGWICK,   Valley Center Public Schools ,14462,3083,216,7
259,SEDGWICK,   Wichita ,338113,57264,11606,20.3
483,SEWARD,   Kismet-Plains ,2886,691,120,17.4
480,SEWARD,   Liberal ,19646,4424,712,16.1
209,SEWARD,   Moscow Public Schools ,708,177,11,6.2
507,SEWARD,   Satanta ,1652,343,57,16.6
374,SEWARD,   Sublette ,2234,481,48,10
437,SHAWNEE,   Auburn-Washburn ,33981,6271,386,6.2
340,SHAWNEE,   Jefferson West ,4979,905,65,7.2
321,SHAWNEE,   Kaw Valley ,8199,2179,186,8.5
434,SHAWNEE,   Santa Fe Trail ,6121,1030,152,14.8
345,SHAWNEE,   Seaman ,20284,3918,223,5.7
450,SHAWNEE,   Shawnee Heights ,18981,3548,197,5.6
372,SHAWNEE,   Silver Lake ,3383,704,51,7.2
501,SHAWNEE,   Topeka Public Schools ,97524,15479,2573,16.6
330,SHAWNEE,   Wabaunsee East ,3139,514,39,7.6
316,SHERIDAN,   Golden Plains ,781,162,22,13.6
291,SHERIDAN,   Grinnell Public Schools ,565,92,20,21.7
