id_ur,county_desc,u_r_code,avg_zero,avg_one,avg_two,avg_three,perc_zero,perc_one,perc_two,perc_three,avg_speed,max_speed
20045R,Douglas,R,7130.88,2291.76,2141.41,5934.95,0.0245397400856018,0.0763561773300171,0.0817171669006348,0.0294846749305725,9.8,25
20045U,Douglas,U,31394.9,17857,13652.6,42124.5,0.0334541845321655,0.0588167762756348,0.0769296789169312,0.0249329710006714,9.8,25
20047R,Edwards,R,1082.63,661.914,376.073,629.379,0.0254009914398193,0.0415461921691894,0.0731241846084595,0.0436938858032227,9.8,25
20049R,Elk,R,1228.61,354.603,325.615,598.177,0.0204052495956421,0.0706987476348877,0.076992883682251,0.0419106817245483,9.8,25
20051R,Ellis,R,2118.04,2728.42,1153.66,1792.88,0.0367933988571167,0.0285623478889465,0.0675502347946167,0.0434663820266724,9.8,25
20051U,Ellis,U,4450.52,6978.19,3604.16,5844.12,0.0469090843200684,0.0299174785614014,0.0579246759414673,0.0357230997085571,129.854545454545,1000
20053R,Ellsworth,R,1415.68,913.342,462.649,696.327,0.0246382927894592,0.0381894016265869,0.0753920030593872,0.0500914430618286,9.8,25
20053U,Ellsworth,U,513.184,702.961,659.669,670.186,0.0496118688583374,0.036218204498291,0.0385951161384583,0.0379894590377808,7.62857142857143,25
20055R,Finney,R,3231.54,885.841,888.34,2117.28,0.0220421242713928,0.0804094409942627,0.0801832485198975,0.0336422395706177,9.8,25
20055U,Finney,U,9714.34,6041.28,2697.35,10341,0.0296407032012939,0.0476620960235596,0.106749334335327,0.0278444242477417,9.8,25
20057R,Ford,R,3530.09,888.327,934.286,2071.3,0.0210306477546692,0.0835728740692139,0.0794617748260498,0.0358421993255615,9.8,25
20057U,Ford,U,8550.29,5769.34,2465.12,8885.24,0.0300223565101624,0.0444938087463379,0.104132852554321,0.0288906025886536,9.8,25
20059R,Franklin,R,6478.68,1308.82,1550.08,4567.43,0.0214627122879028,0.106241044998169,0.0897052192687988,0.0304438281059265,9.8,25
20059U,Franklin,U,4552.5,1684.75,994.689,4561.06,0.0259044432640076,0.0699983978271484,0.118559627532959,0.0258558511734009,9.8,25
20061R,Geary,R,2091.05,1125.13,726.921,1585.9,0.0264412045478821,0.0491410207748413,0.0760605716705322,0.0348635768890381,9.8,25
20061U,Geary,U,9494.37,6192.68,3635.3,7360.65,0.0281040120124817,0.0430879974365234,0.0733997774124145,0.0362508606910706,9.8,25
20063R,Gove,R,1115.64,686.567,359.927,458.866,0.0234932541847229,0.0381754493713379,0.0728202342987061,0.0571190452575684,9.8,25
20065R,Graham,R,735.667,781.261,288.581,583.492,0.0324739456176758,0.0305787801742554,0.0827845287322998,0.0409431457519531,9.8,25
20067R,Grant,R,681.896,266.068,179.211,372.825,0.0219975018501282,0.0563765668869019,0.0837002754211426,0.0402333116531372,9.8,25
20067U,Grant,U,1994.45,1496.4,708.045,1378.1,0.0279625773429871,0.0372694706916809,0.0787661409378052,0.040468635559082,34.0461538461538,250
20069R,Gray,R,2613.51,1054.52,703.701,1582.27,0.0227816200256348,0.0564616298675537,0.0846098327636719,0.0376295399665833,9.8,25
20071R,Greeley,R,484.98,203.683,141.306,366.032,0.0246608328819275,0.0587188291549683,0.0846389389038086,0.0326747632026672,9.8,25
20073R,Greenwood,R,1731.9,638.15,574.549,816.399,0.0217160058021545,0.0589360237121582,0.0654600715637207,0.0460681581497192,9.8,25
20073U,Greenwood,U,675.581,531.429,286.512,613.478,0.0311879920959473,0.0396478486061096,0.0735395526885986,0.0343451333045959,7.23333333333333,25
20075R,Hamilton,R,975.567,433.324,218.685,797.424,0.0248573422431946,0.0559627103805542,0.110890188217163,0.0304104208946228,9.8,25
20077R,Harper,R,1439.37,1476.29,700.794,1719.55,0.0370717835426331,0.0361447644233704,0.0761422443389893,0.0310313558578491,9.8,25
20079R,Harvey,R,4497,1493,1334.68,3821.32,0.0247854256629944,0.0746549415588379,0.0835106372833252,0.0291679334640503,9.8,25
20079U,Harvey,U,6838.49,4986.88,2192.59,9127.04,0.0338452053070068,0.0464117431640625,0.105560111999512,0.0253587198257446,9.8,25
20081R,Haskell,R,1560.95,649.347,434.163,1278.54,0.0251321291923523,0.0604145479202271,0.0903577136993408,0.0306834435462952,9.8,25
20083R,Hodgeman,R,859.889,234.871,224.594,459.646,0.0206887197494507,0.0757437896728516,0.0792095613479614,0.0387036752700806,9.8,25
20085R,Jackson,R,2178.1,706.744,616.667,1520.99,0.0230591249465942,0.0710653591156006,0.0814459419250488,0.0330211877822876,9.8,25
20085U,Jackson,U,1367.41,661.578,402.449,694.567,0.0228608059883118,0.0472506475448608,0.0776744413375854,0.0450064659118652,9.8,25
20087R,Jefferson,R,7455.08,2774.04,2328.28,6246.6,0.0252230548858643,0.0677855920791626,0.0807635974884033,0.0301027822494507,7.62857142857143,25
20087U,Jefferson,U,78.2132,42.8299,33.3424,73.6145,0.0291511082649231,0.0532337999343872,0.0683813953399658,0.0309721541404724,9.8,25
20089R,Jewell,R,1149.82,746.939,368.526,567.719,0.0246387195587158,0.0379281425476074,0.0768738031387329,0.0499014663696289,9.8,25
20091R,Johnson,R,8329.13,5620.18,4366.91,11835.8,0.0362006425857544,0.0536495113372803,0.0690465068817139,0.0254753112792969,9.8,25
20091U,Johnson,U,98168.9,119434,117348,242088,0.0587802267074585,0.0483145475387573,0.0491732168197632,0.0238359141349792,9.8,25
20093R,Kearny,R,1443.32,763.12,455.982,1082.58,0.0259470844268799,0.0490748405456543,0.0821304607391357,0.0345934176445007,9.8,25
20095R,Kingman,R,2009.53,565.968,628.712,1306.79,0.0224480271339417,0.0797041177749634,0.0717498588562012,0.0345197248458862,9.8,25
20095U,Kingman,U,793.984,531.102,200.027,937.887,0.031020770072937,0.0463752698898315,0.123133249282837,0.0262611699104309,9.8,25
20097R,Kiowa,R,1127.18,360.136,330.712,637.968,0.0217888164520264,0.0681964492797852,0.0742640113830566,0.038497211933136,7.62857142857143,25
20099R,Labette,R,5111.22,991.982,1362.7,3357.1,0.0211749935150146,0.109104814529419,0.0794230270385742,0.0322391605377197,9.8,25
20099U,Labette,U,2846.18,2123.83,1124.29,2668.7,0.0307885980606079,0.0412604093551636,0.0779425048828125,0.0328362321853638,9.8,25
